"Cursus","Cursusnaam","Collegejaar","Medewerker"
"201300068","Desig. for learning in schools & organis","2015","M7640476"
"201300068","Desig. for learning in schools & organis","2015","M7640999"
"201300068","Desig. for learning in schools & organis","2015","M7644122"
"201300068","Desig. for learning in schools & organis","2015","M7644270"
"201300069","Research Studio","2015","M7645632"
"201300069","Research Studio","2015","M7646687"
"201300069","Research Studio","2015","M7661299"
"201300069","Research Studio","2015","M7689286"
"201300069","Research Studio","2015","M7693955"
"201300069","Research Studio","2015","M7699168"
"201400689","Elective course 1","2015","M7640995"
"201400689","Elective course 1","2015","M7642789"
"201400689","Elective course 1","2015","M7681343"
"201400689","Elective course 1","2015","M7686814"
"201400689","Elective course 1","2015","M7693664"
"201400690","Elective course 2","2015","M7642789"
"201400690","Elective course 2","2015","M7686814"
"201400690","Elective course 2","2015","M7693664"
"201400691","Elective course 3","2015","M7642789"
"201400691","Elective course 3","2015","M7693664"
"201400692","Elective course 4","2015","M7642789"
"201400692","Elective course 4","2015","M7693664"
"201400694","Ethics","2015","M7642789"
"201400694","Ethics","2015","M7688549"
"201400695","Advanced Matrix Algebra 1","2015","M7642789"
"201400695","Advanced Matrix Algebra 1","2015","M7688549"
"201400696","S4: Deepening","2015","M7640995"
"201400696","S4: Deepening","2015","M7686814"
"201400696","S4: Deepening","2015","M7693664"
"201400697","Advanced Programming","2015","M7642789"
"201400697","Advanced Programming","2015","M7688549"
"201400697","Advanced Programming","2015","M7693664"
"201400698","Linear Algebra","2015","M7642789"
"201400698","Linear Algebra","2015","M7688549"
"201400698","Linear Algebra","2015","M7693664"
"201400699","Elective course 5","2015","M7642789"
"201400699","Elective course 5","2015","M7693664"
"201400700","Elective course 6","2015","M7642789"
"201400700","Elective course 6","2015","M7693664"
"201400701","Elective course 7","2015","M7642789"
"201400701","Elective course 7","2015","M7693664"
"201400702","Elective course 8","2015","M7642789"
"201400702","Elective course 8","2015","M7693664"
"201500001","Professional Learning in Organisations","2015","M7640476"
"201500001","Professional Learning in Organisations","2015","M7645900"
"201500001","Professional Learning in Organisations","2015","M7689286"
"201500001","Professional Learning in Organisations","2015","M7693885"
"201500002","Learning in the Classroom","2015","M7640999"
"201500002","Learning in the Classroom","2015","M7641300"
"201500002","Learning in the Classroom","2015","M7643236"
"201500002","Learning in the Classroom","2015","M7644270"
"201500002","Learning in the Classroom","2015","M7648658"
"201500003","From Idea to Prototype","2015","M7681901"
"201500003","From Idea to Prototype","2015","M7682870"
"201500004","From Prototype to Society","2015","M7681901"
"201500004","From Prototype to Society","2015","M7682870"
"201500005","Scientific Challenges IDE","2015","M7641462"
"201500005","Scientific Challenges IDE","2015","M7641988"
"201500005","Scientific Challenges IDE","2015","M7645289"
"201500005","Scientific Challenges IDE","2015","M7648295"
"201500005","Scientific Challenges IDE","2015","M7648330"
"201500005","Scientific Challenges IDE","2015","M7649248"
"201500005","Scientific Challenges IDE","2015","M7660404"
"201500005","Scientific Challenges IDE","2015","M7665495"
"201300190","Art, Impact and Technology","2015","M7640341"
"201300190","Art, Impact and Technology","2015","M7640965"
"201300190","Art, Impact and Technology","2015","M7647221"
"201300190","Art, Impact and Technology","2015","M7662544"
"201300190","Art, Impact and Technology","2015","M7680470"
"201300190","Art, Impact and Technology","2015","M7680523"
"201300190","Art, Impact and Technology","2015","M7686799"
"201300196","Klinische Specialisatiestage","2015","M7640787"
"201300196","Klinische Specialisatiestage","2015","M7640859"
